condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.05,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.10,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.23,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.51,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.63,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.05,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.10,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.25,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.46,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.71,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.04,43.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.10,55.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.26,60.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0.26,60.56
